Sample	Species	RelativeAbundance	Type	Sample_type	Sampling place specific details	Location	Sampling_day	Individual
SL336583	Moraxella_osloensis	4.356183189001089	Skin	Right palm	residence 3 right palm day 9 night	Residence 3	Day 9 night	Subject_3
SL336583	Xanthomonas_campestris	0.2788018157471356	Skin	Right palm	residence 3 right palm day 9 night	Residence 3	Day 9 night	Subject_3
SL336584	Brevundimonas_diminuta	0.5093346893452746	Skin	Left palm	residence 3 left palm day 9 night	Residence 3	Day 9 night	Subject_3
SL336584	Chryseobacterium_taklimakanense	0.2129492221957016	Skin	Left palm	residence 3 left palm day 9 night	Residence 3	Day 9 night	Subject_3
SL336584	Cutibacterium_acnes	4.102074490717198	Skin	Left palm	residence 3 left palm day 9 night	Residence 3	Day 9 night	Subject_3
SL336584	Dermacoccus_nishinomiyaensis	0.36280237855563974	Skin	Left palm	residence 3 left palm day 9 night	Residence 3	Day 9 night	Subject_3
SL336584	Gordonia_bronchialis	19.922790340490447	Skin	Left palm	residence 3 left palm day 9 night	Residence 3	Day 9 night	Subject_3
SL336584	Janibacter_indicus	22.75588671765548	Skin	Left palm	residence 3 left palm day 9 night	Residence 3	Day 9 night	Subject_3
SL336584	Micrococcus_luteus	5.506169508411079	Skin	Left palm	residence 3 left palm day 9 night	Residence 3	Day 9 night	Subject_3
SL336584	Minor/Unclassified	39.04027563018233	Skin	Left palm	residence 3 left palm day 9 night	Residence 3	Day 9 night	Subject_3
SL336584	Moraxella_osloensis	7.356088043918183	Skin	Left palm	residence 3 left palm day 9 night	Residence 3	Day 9 night	Subject_3
SL336584	Xanthomonas_campestris	0.23162897852865785	Skin	Left palm	residence 3 left palm day 9 night	Residence 3	Day 9 night	Subject_3
SL336585	Brevundimonas_diminuta	0.9116675022766108	Skin	Left palm	residence 3 left palm day 10 night	Residence 3	Day 10 night	Subject_3
SL336585	Chryseobacterium_taklimakanense	0.19543040733426784	Skin	Left palm	residence 3 left palm day 10 night	Residence 3	Day 10 night	Subject_3
