Sample	Type	Sample_type	Sampling place specific details	Location	Sampling_day	Individual
SL336782	Skin	Left palm	residence 3 left palm day 7 night	Residence 3	Day 7 night	Subject_3
SL336774	Skin	Right palm	residence 3 right palm day 7 night	Residence 3	Day 7 night	Subject_3
SL346089	Skin	Left palm	residence 4 left palm day 7 night	Residence 4	Day 7 night	Subject_4
SL336655	Skin	Left palm	residence 1 left palm day 8 day	Residence 1	Day 8 day	Subject_1
SL336661	Skin	Right palm	residence 1 right palm day 8 day	Residence 1	Day 8 day	Subject_1
SL345934	Skin	Left palm	residence 2 left palm day 8 day	Residence 2	Day 8 day	Subject_2
SL345950	Skin	Right palm	residence 2 right palm day 8 day	Residence 2	Day 8 day	Subject_2
SL336703	Skin	Left palm	residence 3 left palm day 8 day	Residence 3	Day 8 day	Subject_3
SL336695	Skin	Right palm	residence 3 right palm day 8 day	Residence 3	Day 8 day	Subject_3
SL346169	Skin	Left palm	residence 4 left palm day 8 day	Residence 4	Day 8 day	Subject_4
SL346163	Skin	Right palm	residence 4 right palm day 8 day	Residence 4	Day 8 day	Subject_4
SL336679	Skin	Left palm	residence 1 left palm day 8 night	Residence 1	Day 8 night	Subject_1
SL336685	Skin	Right palm	residence 1 right palm day 8 night	Residence 1	Day 8 night	Subject_1
SL345958	Skin	Left palm	residence 2 left palm day 8 night	Residence 2	Day 8 night	Subject_2
SL345982	Skin	Right palm	residence 2 right palm day 8 night	Residence 2	Day 8 night	Subject_2
SL336751	Skin	Left palm	residence 3 left palm day 8 night	Residence 3	Day 8 night	Subject_3
SL336743	Skin	Right palm	residence 3 right palm day 8 night	Residence 3	Day 8 night	Subject_3
SL346151	Skin	Left palm	residence 4 left palm day 8 night	Residence 4	Day 8 night	Subject_4
SL346109	Skin	Right palm	residence 4 right palm day 8 night	Residence 4	Day 8 night	Subject_4
SL336644	Skin	Left palm	residence 1 left palm day 9 day	Residence 1	Day 9 day	Subject_1
SL336650	Skin	Right palm	residence 1 right palm day 9 day	Residence 1	Day 9 day	Subject_1
SL346087	Skin	Left palm	residence 2 left palm day 9 day	Residence 2	Day 9 day	Subject_2
SL336570	Skin	Left palm	residence 3 left palm day 9 day	Residence 3	Day 9 day	Subject_3
SL336568	Skin	Right palm	residence 3 right palm day 9 day	Residence 3	Day 9 day	Subject_3
SL346126	Skin	Left palm	residence 4 left palm day 9 day	Residence 4	Day 9 day	Subject_4
SL346118	Skin	Right palm	residence 4 right palm day 9 day	Residence 4	Day 9 day	Subject_4
SL336687	Skin	Left palm	residence 1 left palm day 9 night	Residence 1	Day 9 night	Subject_1
SL336681	Skin	Right palm	residence 1 right palm day 9 night	Residence 1	Day 9 night	Subject_1
SL346095	Skin	Left palm	residence 2 left palm day 9 night	Residence 2	Day 9 night	Subject_2
SL336584	Skin	Left palm	residence 3 left palm day 9 night	Residence 3	Day 9 night	Subject_3
SL336583	Skin	Right palm	residence 3 right palm day 9 night	Residence 3	Day 9 night	Subject_3
